wage,num_emp,num_jobs,num_est,wage_avg,age_avg,wage_growth,wage_growth_5,num_emp_growth,num_emp_growth_5,year,bra_id,cbo_id,ibge_id
21688.53,61,61,22,355.55,38.541,None,None,None,None,2002,4mg070412,6,3159209
3896.78,15,15,6,259.79,35.133,None,None,None,None,2002,4mg070500,6,3107901
26467.86,94,94,50,281.57,39.117,None,None,None,None,2002,4mg070501,6,3108305
18749.74,69,69,27,271.74,39.464,None,None,None,None,2002,4mg070502,6,3109105
58380.44,182,182,70,320.77,36.033,None,None,None,None,2002,4mg070503,6,3110509
15618.13,58,58,32,269.28,36.759,None,None,None,None,2002,4mg070504,6,3110608
4089.52,13,13,9,314.58,32.615,None,None,None,None,2002,4mg070505,6,3117900
2012.59,8,8,4,251.57,38.375,None,None,None,None,2002,4mg070506,6,3119906
2389.83,7,7,5,341.40,40.714,None,None,None,None,2002,4mg070507,6,3124401
5067.93,20,20,13,253.40,34.2,None,None,None,None,2002,4mg070508,6,3124500
12194.02,34,34,23,358.65,40.588,None,None,None,None,2002,4mg070509,6,3125101
17213.50,59,59,31,291.75,36.627,None,None,None,None,2002,4mg070510,6,3127404
25261.93,104,104,33,242.90,41.923,None,None,None,None,2002,4mg070511,6,3131505
27233.24,85,85,44,320.39,35.835,None,None,None,None,2002,4mg070512,6,3133600
157391.00,353,477,7,329.96,29.639,None,None,None,None,2002,4mg070513,6,3143807
136646.23,553,554,232,246.65,37.646,None,None,None,None,2002,4mg070514,6,3152501
38186.80,114,114,48,334.97,35.781,None,None,None,None,2002,4mg070515,6,3165404
15282.37,55,55,10,277.86,33.673,None,None,None,None,2002,4mg070516,6,3165578
5369.09,19,19,6,282.58,38.316,None,None,None,None,2002,4mg070517,6,3165800
1439.34,5,5,5,287.87,49.2,None,None,None,None,2002,4mg070518,6,3169059
64916.76,259,259,53,250.64,40.069,None,None,None,None,2002,4mg070600,6,3109709
68122.93,301,301,55,226.32,37.389,None,None,None,None,2002,4mg070601,6,3113602
